eps0,F,p_star,W_star,regime,n_local_maxima,n_thresholds,p_bar_low,p_bar_high
0.3,0.05,2.0395,-1.4626555369919776,AT_KINK,2,1,2.043171568909622,
0.3,0.08305084745762711,2.0709999999999997,-1.4606171704287347,AT_KINK,2,1,2.0720108692875354,
0.3,0.11610169491525424,2.098,-1.458941092669379,AT_KINK,2,1,2.1010900322270136,
0.3,0.14915254237288134,2.1295,-1.4570657156659617,AT_KINK,2,1,2.130408500990616,
0.3,0.1822033898305085,2.1565,-1.4555246125278734,AT_KINK,2,1,2.1599657055104258,
0.3,0.21525423728813559,2.1879999999999997,-1.45380144612958,AT_KINK,2,1,2.1897610629813027,
0.3,0.24830508474576268,2.2195,-1.4521561133576266,AT_KINK,2,1,2.2197939784404563,
0.3,0.28135593220338984,2.2465,-1.4508057187459165,AT_KINK,2,1,2.250063845334651,
0.3,0.31440677966101693,2.2779999999999996,-1.4492978382312338,AT_KINK,2,1,2.2805700460734952,
0.3,0.34745762711864403,2.3095,-1.4478603778925847,AT_KINK,2,1,2.3113119525680714,
0.3,0.3805084745762712,2.341,-1.4464909712887446,AT_KINK,2,1,2.3422889267605385,
0.3,0.4135593220338983,2.3724999999999996,-1.4451873592157285,AT_KINK,2,1,2.373500321134576,
0.3,0.4466101694915254,2.404,-1.443947383543711,AT_KINK,2,1,2.404945479216867,
0.3,0.47966101694915253,2.4355,-1.442768981482343,AT_KINK,2,1,2.436623736063613,
0.3,0.5127118644067796,2.4669999999999996,-1.4416501802396275,AT_KINK,2,1,2.468534418734176,
0.3,0.5457627118644068,2.4985,-1.4405890920427542,AT_KINK,2,1,2.5006768467516682,
0.3,0.5788135593220339,2.53,-1.4395839094921854,AT_KINK,2,1,2.533050332550736,
0.3,0.611864406779661,2.5614999999999997,-1.4386329012228936,AT_KINK,2,1,2.565654181911638,
0.3,0.6449152542372881,2.5975,-1.4376102449780697,AT_KINK,2,1,2.5984876943838784,
0.3,0.6779661016949153,2.6289999999999996,-1.4367698240300661,AT_KINK,2,1,2.631550163694278,
0.3,0.7110169491525424,2.6605,-1.4359785872088868,AT_KINK,2,1,2.66484087814489,
0.3,0.7440677966101695,2.6965,-1.435132675953982,AT_KINK,2,1,2.698359120998464,
0.3,0.7771186440677966,2.7279999999999998,-1.4344420022211781,AT_KINK,2,1,2.732104170850769,
0.3,0.8101694915254237,2.764,-1.4337074381286004,AT_KINK,2,1,2.7660753019923665,
0.3,0.8432203389830508,2.8,-1.4330294728790838,AT_KINK,2,1,2.8002717847580985,
0.3,0.876271186440678,2.8315,-1.4324812420516233,AT_KINK,2,1,2.834692885865171,
0.3,0.9093220338983051,2.8674999999999997,-1.431904531336126,AT_KINK,2,1,2.8693378687410664,
0.3,0.9423728813559322,2.9034999999999997,-1.431379369384507,AT_KINK,2,1,2.90420599383875,
0.3,0.9754237288135593,2.9349999999999996,-1.4309608682110873,AT_KINK,2,1,2.9392965189421116,
0.3,1.0084745762711864,2.971,-1.4305280626110861,AT_KINK,2,1,2.9746086994617458,
0.3,1.0415254237288136,3.0069999999999997,-1.4301423435502387,AT_KINK,2,1,3.010141788718601,
0.3,1.0745762711864406,3.0429999999999997,-1.4298022807301753,AT_KINK,2,1,3.0458950382183483,
0.3,1.1076271186440678,3.0789999999999997,-1.4295065014613637,AT_KINK,2,1,3.081867697917321,
0.3,1.140677966101695,3.1149999999999998,-1.4292536877299358,AT_KINK,2,1,3.1180590164758732,
0.3,1.173728813559322,3.151,-1.4290425734450636,AT_KINK,2,1,3.15446824150548,
0.3,1.2067796610169492,3.187,-1.4288719418538744,AT_KINK,2,1,3.1910946198042227,
0.3,1.2398305084745762,3.2275,-1.4287269159414313,AT_KINK,2,1,3.2279373975851082,
0.3,1.2728813559322034,3.2634999999999996,-1.4286384813024542,AT_KINK,2,1,3.264995820694437,
0.3,1.3059322033898306,3.2994999999999997,-1.4285870190853984,AT_KINK,2,1,3.3022691348227307,
0.3,1.3389830508474576,3.3354999999999997,-1.4285714919107473,AT_KINK,2,1,3.3397565857063456,
0.3,1.3720338983050848,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.3774574193224676,
0.3,1.4050847457627118,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.415370882074284,
0.3,1.438135593220339,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.4534962209712994,
0.3,1.4711864406779662,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.4918326837995246,
0.3,1.5042372881355932,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.5303795192861034,
0.3,1.5372881355932204,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.569135977257233,
0.3,1.5703389830508474,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.6081013087874148,
0.3,1.6033898305084746,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.6472747663451783,
0.3,1.6364406779661016,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.6866556039296676,
0.3,1.6694915254237288,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.726243077202574,
0.3,1.702542372881356,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.7660364436131593,
0.3,1.735593220338983,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.8060349625194125,
0.3,1.7686440677966102,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.846237895301132,
0.3,1.8016949152542372,3.3354999999999997,-1.4285714919107473,INTERIOR_GENERIC,2,1,3.886644505469177,
