family,p,welfare,expenditure,originator_profit,originator_participates
ces,1.0,-4.444444444444442,7.777777777777774,-11.611111111111107,0
ces,1.0045,-4.374981021881815,7.742934572202865,-11.462229064393021,0
ces,1.009,-4.306577221698905,7.708402158352603,-11.315555060069984,0
ces,1.0135,-4.239213094311591,7.674176396426025,-11.171048016173476,0
ces,1.018,-4.1728691455996785,7.6402532198209965,-11.028667782576786,0
ces,1.0225,-4.1075263246340645,7.6066286335234965,-10.88837511598913,0
ces,1.027,-4.043166011785438,7.5732987125392155,-10.750131655724939,0
ces,1.0315,-3.9797700072011253,7.540259600366238,-10.613899900221178,0
ces,1.036,-3.9173205196371184,7.507507507507503,-10.479643184276384,0
ces,1.0405,-3.8558001556329016,7.475038710021889,-10.347325656986344,0
ces,1.045,-3.7951919090171415,7.442849548112705,-10.216912260352201,0
ces,1.0495,-3.735479150732809,7.410936424752524,-10.088368708537772,0
ces,1.054,-3.6766456189706904,7.379295804343242,-9.961661467753736,0
ces,1.0585,-3.618675409600659,7.347924211410274,-9.836757736747112,0
ces,1.063,-3.561552966890634,7.316818229329986,-9.713625427875552,0
ces,1.0675,-3.5052630745032927,7.28597449908925,-9.592233148746374,0
ces,1.072,-3.449790846761217,7.255389718076283,-9.472550184401372,0
ces,1.0765,-3.3951217201713515,7.225060638901787,-9.35454648002893,0
ces,1.081,-3.3412414452000734,7.194984068249561,-9.238192624185738,0
ces,1.0855,-3.2881360782904547,7.165156865755669,-9.1234598325111,0
ces,1.09,-3.2357919741136616,7.1355759429153895,-9.010319931917437,0
ces,1.0945,-3.184195778046713,7.106238262017156,-8.898745345241185,0
ces,1.099,-3.133334418869037,7.077140835102616,-8.788709076338824,0
ces,1.1035,-3.0831951016707313,7.048280722952222,-8.680184695613526,0
ces,1.108,-3.0337653009654444,7.019655034095464,-8.573146325958165,0
ces,1.1125,-2.985032754001317,6.99126092384519,-8.467568629101262,0
ces,1.117,-2.9369854542633957,6.963095593355214,-8.363426792342569,0
ces,1.1215,-2.8896116451614313,6.935156288700647,-8.260696515665906,0
ces,1.126,-2.8428998138969765,6.907440299980262,-8.159353999216886,0
ces,1.1305,-2.7968386855040723,6.879944960440314,-8.059375931133951,0
ces,1.135,-2.751417217057921,6.852667645619183,-7.960739475721327,0
ces,1.1395,-2.7066245920461887,6.825605772512309,-7.86342226195304,0
ces,1.144,-2.662450214897767,6.798756798756798,-7.767402372297478,0
ces,1.1485,-2.618883705664003,6.772118221835242,-7.672658331852363,0
ces,1.153,-2.5759148948475925,6.745687578298157,-7.579169097780373,0
ces,1.1575,-2.5335338183744422,6.719462443004557,-7.486914049035902,0
ces,1.162,-2.491730712704106,6.693440428380185,-7.3958729763739814,0
ces,1.1665,-2.450496010074386,6.6676191836929055,-7.306026072632461,0
ces,1.171,-2.409820333875987,6.641996394344813,-7.217353923279065,0
ces,1.1755,-2.369694494153147,6.616569781180582,-7.129837497215033,0
ces,1.18,-2.330109483226402,6.591337099811674,-7.043458137827571,0
ces,1.1844999999999999,-2.2910564714336914,6.566296139955911,-6.958197554283359,0
ces,1.189,-2.252526802986191,6.541444724792073,-6.874037813055834,0
ces,1.1935,-2.2145119919353995,6.516780710329095,-6.790961329679114,0
ces,1.198,-2.1770037182480273,6.492301984789461,-6.708950860721618,0
ces,1.2025,-2.139993823985507,6.468006468006466,-6.627989495972864,0
ces,1.207,-2.1034743095848922,6.443892110834941,-6.548060650836913,0
ces,1.2115,-2.067437330238156,6.419956894575134,-6.469148058926352,0
ces,1.216,-2.03187519236688,6.396198830409355,-6.391235764850721,0
ces,1.2205,-1.9967803501895487,6.372615958851107,-6.314308117193701,0
ces,1.225,-1.9621454023786358,6.349206349206346,-6.238349761673374,0
ces,1.2295,-1.9279630888048782,6.325968099046585,-6.16334563448021,0
ces,1.234,-1.8942262873660942,6.302899333693498,-6.089280955787474,0
ces,1.2385,-1.8609280108981263,6.279998205714796,-6.016141223429054,0
ces,1.2429999999999999,-1.8280614041654628,6.257262894431035,-5.943912206739794,0
ces,1.2475,-1.7956197409291956,6.234691605433086,-5.87257994055356,0
ces,1.252,-1.7635964210901172,6.212282570110045,-5.802130719354534,0
ces,1.2565,-1.731984967904702,6.190034045187246,-5.73255109157719,0
ces,1.261,-1.7007790252719408,6.167944312274208,-5.663827854050799,0
ces,1.2654999999999998,-1.6699723550889205,6.146011677422186,-5.595948046584182,0
ces,1.27,-1.639558834673223,6.12423447069116,-5.52889894668678,0
ces,1.2745,-1.6095324542502105,6.1026110457259914,-5.462668064422135,0
ces,1.279,-1.5798873145033303,6.081139779341497,-5.397243137389948,0
ces,1.2835,-1.5506176241856942,6.059819071116303,-5.332612125833191,0
ces,1.288,-1.52171769779115,6.038647342995167,-5.268763207866636,0
ces,1.2925,-1.493181953283191,6.017623038899633,-5.205684774823422,0
ces,1.297,-1.4650049098800695,5.996744624346781,-5.143365426716365,0
ces,1.3014999999999999,-1.4371811858945485,5.976010586075893,-5.081793967810782,0
ces,1.306,-1.4097054966267368,5.955419431682829,-5.020959402305713,0
ces,1.3105,-1.382572652308581,5.9349696892619415,-4.960850930120575,0
ces,1.315,-1.3557775560985093,5.914659907055343,-4.901457942784259,0
ces,1.3195,-1.3293152021249126,5.894488653109341,-4.8427700194239245,0
ces,1.3239999999999998,-1.3031806735770735,5.874454514937898,-4.784776922850691,0
ces,1.3285,-1.2773691408422385,5.854556099192905,-4.7274685957395945,0
ces,1.333,-1.251875859687602,5.834792031341167,-4.670835156901252,0
ces,1.3375,-1.2266961694859315,5.815160955347869,-4.614866897642686,0
ces,1.342,-1.2018254914836959,5.79566153336645,-4.559554278214949,0
ces,1.3465,-1.1772593271104963,5.776292445434664,-4.504887924345184,0
ces,1.351,-1.152993256328724,5.75705238917674,-4.450858623850803,0
ces,1.3555,-1.1290229360223307,5.737940079511454,-4.397457323333649,0
ces,1.3599999999999999,-1.105344098423683,5.718954248366011,-4.344675124951942,0
ces,1.3645,-1.0819525495774682,5.700093644395585,-4.292503283267962,0
ces,1.369,-1.0588441678406726,5.681357032708382,-4.2409332021694555,0
ces,1.3735,-1.0360149024176586,5.662743194596124,-4.189956431862782,0
ces,1.378,-1.01346077192943,5.644250927269794,-4.139564665935945,0
ces,1.3824999999999998,-0.9911778630161674,5.625879043600561,-4.089749738489639,0
ces,1.387,-0.9691623289721596,5.607626371865735,-4.040503621334531,0
ces,1.3915,-0.9474103884122922,5.589491755499659,-3.9918184212530603,0
ces,1.396,-0.9259183239692419,5.571474052849409,-3.9436863773240316,0
ces,1.4005,-0.9046824810206084,5.553572136935219,-3.896099858308424,0
ces,1.405,-0.883699266445177,5.535784895215497,-3.849051360094785,0
ces,1.4095,-0.862965147407575,5.51811122935635,-3.802533503202681,0
ces,1.414,-0.8424766501705729,5.500550055005499,-3.756539030342719,0
ces,1.4184999999999999,-0.8222303589343358,5.483100301570515,-3.711060804031679,0
ces,1.423,-0.8022229147019191,5.465760912001248,-3.666091804261339,0
ces,1.4275,-0.7824510141703369,5.448530842576375,-3.621625126219639,0
ces,1.432,-0.76291140864656,5.4314090626939775,-3.5776539780628287,0
ces,1.4364999999999999,-0.7436009029877981,5.414394554666046,-3.5341716787373256,0
ces,1.4409999999999998,-0.7245163545654609,5.397486313516847,-3.491171655850023,0
ces,1.4455,-0.7056546722521855,5.380683346785038,-3.4486474435858123,0
ces,1.45,-0.6870128154313635,5.3639846743295,-3.406592680671158,0
ces,1.4545,-0.6685877930285908,5.347389328138726,-3.3650011083825326,0
ces,1.459,-0.65037666256449,5.33089635214378,-3.3238665685986333,0
ces,1.4635,-0.6323765292283943,5.314504802034694,-3.2831830018952743,0
ces,1.468,-0.6145845449723257,5.298213745080227,-3.242944445681862,0
ces,1.4725,-0.5969979076248224,5.282022259950951,-3.203145032378489,0
ces,1.4769999999999999,-0.5796138600240672,5.265929436545548,-3.1637789876325786,0
ces,1.4815,-0.5624296891698899,5.249934375820301,-3.124840628574153,0
ces,1.486,-0.5454427253941416,5.234036189621651,-3.086324362108757,0
ces,1.4905,-0.5286503415490067,5.218234000521822,-3.0482246832471067,0
ces,1.4949999999999999,-0.5120499522128137,5.202526941657375,-3.010536173470593,0
ces,1.4994999999999998,-0.4956390129129149,5.186914156570706,-2.973253499131749,0
ces,1.504,-0.4794150193652227,5.171394799054372,-2.936371409888838,0
ces,1.5085,-0.4633755067299852,5.155968032998193,-2.8998847371737417,0
ces,1.513,-0.4475180488834347,5.140633032239112,-2.8637883926923315,0
ces,1.5175,-0.4318402577048941,5.125388980413689,-2.828077366956559,0
ces,1.5219999999999998,-0.41633978237900404,5.110235070813256,-2.792746727847511,0
ces,1.5265,-0.4010143087126634,5.0951705062415815,-2.7577916192086374,0
ces,1.531,-0.3858615584663925,5.080194498875098,-2.7232072594685284,0
ces,1.5354999999999999,-0.3708792886997072,5.0653062701255465,-2.688988940292429,0
ces,1.54,-0.3560652911302258,5.050505050505048,-2.6551320252618944,0
ces,1.5445,-0.3414173915061527,5.035790079493542,-2.621631948581889,0
ces,1.549,-0.32693344899182897,5.021160605408506,-2.588484213814661,0
ces,1.5535,-0.31261135556605435,5.006615885276971,-2.555684392639815,0
ces,1.5579999999999998,-0.29844903543285817,4.99215518470974,-2.523228123639929,0
ces,1.5625,-0.2844444444444436,4.977777777777777,-2.4911111111111106,0
ces,1.567,-0.2705955695360238,4.96348294689073,-2.459329123897973,0
ces,1.5715,-0.256900428172254,4.949269982677553,-2.427877994252382,0
ces,1.576,-0.24335706780500388,4.935138183869146,-2.39675361671548,0
