family,lam,p_SB,regime_W,p_cost,regime_E,p_bar_low,p_bar_high,wedge
linear,0.26,1.351,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.0589876599268955,13.454525853586576,-0.351
linear,0.28,1.387,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.0587010497114857,13.830187839177345,-0.387
linear,0.30000000000000004,1.4275,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.0584173031293997,14.227296982584816,-0.4275
linear,0.32,1.4725,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.0581363761571225,14.647745976783975,-0.4724999999999999
linear,0.33999999999999997,1.513,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.057858225694052,15.093656925821014,-0.5129999999999999
linear,0.36,1.5625,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.0575828095378417,15.56741719046207,-0.5625
linear,0.38,1.612,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.0573100863605505,16.071722171703883,-0.6120000000000001
linear,0.4,1.666,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.057040015685561,16.609626650981024,-0.6659999999999999
linear,0.42000000000000004,1.7245,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.056772557865244,17.18460675247951,-0.7244999999999999
linear,0.44000000000000006,1.7875,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.0565076740593984,17.80063518308346,-0.7875000000000001
linear,0.45999999999999996,1.8504999999999998,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.056245326214047,18.46227319230447,-0.8504999999999998
linear,0.48,1.9224999999999999,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.0559854770415824,19.174783753727645,-0.9224999999999999
linear,0.5,1.9989999999999999,INTERIOR_GENERIC,1.0,LOWER_CORNER,2.0557280900008412,19.94427190999916,-0.9989999999999999
linear,0.52,2.053,AT_KINK,1.0,LOWER_CORNER,2.0554731292781545,20.777860204055177,-1.053
linear,0.54,2.053,AT_KINK,1.0,LOWER_CORNER,2.055220559768915,21.683909875013693,-1.053
linear,0.56,2.053,AT_KINK,1.0,LOWER_CORNER,2.054970347059713,22.67230238021302,-1.053
linear,0.58,2.053,AT_KINK,1.0,LOWER_CORNER,2.05472245741102,23.75480135211279,-1.053
linear,0.6,2.053,AT_KINK,1.0,LOWER_CORNER,2.054476857740403,24.945523142259596,-1.053
linear,0.62,2.053,AT_KINK,1.0,LOWER_CORNER,2.0542335156062452,26.261555958077963,-1.053
linear,0.64,2.053,AT_KINK,1.0,LOWER_CORNER,2.053992399191959,27.723785378585816,-1.053
linear,0.66,2.053,AT_KINK,1.0,LOWER_CORNER,2.0537534772906745,29.358011228591685,-1.053
linear,0.6799999999999999,2.053,AT_KINK,1.0,LOWER_CORNER,2.053516719289623,31.196483280709618,-1.053
linear,0.7,2.053,AT_KINK,1.0,LOWER_CORNER,2.0532820951595565,33.28005123817382,-1.053
linear,0.72,2.053,AT_KINK,1.0,LOWER_CORNER,2.0530495754329463,35.661236138852765,-1.053
linear,0.74,2.0484999999999998,AT_KINK,1.0,LOWER_CORNER,2.052819131198454,38.408719330340006,-1.0484999999999998
linear,0.76,2.0484999999999998,AT_KINK,1.0,LOWER_CORNER,2.052590734083481,41.61407593258319,-1.0484999999999998
linear,0.78,2.0484999999999998,AT_KINK,1.0,LOWER_CORNER,2.0523643562423666,45.4021810983031,-1.0484999999999998
linear,0.8,2.0484999999999998,AT_KINK,1.0,LOWER_CORNER,2.0521399703439047,49.947860029656105,-1.0484999999999998
linear,0.82,2.0484999999999998,AT_KINK,1.0,LOWER_CORNER,2.0519175495592736,55.50363800599627,-1.0484999999999998
linear,0.84,2.0484999999999998,AT_KINK,1.0,LOWER_CORNER,2.051697067550302,62.44830293244969,-1.0484999999999998
linear,0.86,2.0484999999999998,AT_KINK,1.0,LOWER_CORNER,2.0514784984580747,71.3770929301074,-1.0484999999999998
linear,0.88,2.0484999999999998,AT_KINK,1.0,LOWER_CORNER,2.051261816891857,83.28207151644148,-1.0484999999999998
linear,0.9,2.0484999999999998,AT_KINK,1.0,LOWER_CORNER,2.051046997918331,99.94895300208181,-1.0484999999999998
